c_no	c_name	t_no	f_no	c_people	c_release	c_space
1	더 뉴 레이	1	1	5	2021~22	2
2	모닝 어반	1	1	5	2021	2
3	캐스퍼	1	1	4	2023	1
4	아반떼 CN7(21년형)	2	1	5	2020~21	3
5	올 뉴 K3	2	1	5	2020	3
6	더 뉴 K3	2	1	5	2021~22	3
7	아반떼 CN7(22년형)	2	2	5	2021~22	2
8	쏘나타 DN8(22년형)	3	1	5	2020~22	4
9	K5 DL3 (22년형)	3	1	5	2020~22	4
10	쏘나타 DN8(21년형)	3	2	5	2020~21	3
11	K5 DL3 (21년형)	3	2	5	2020~21	3
12	더 뉴 그랜저(화이트)	4	1	5	2020~21	4
13	올 뉴 제네시스 G80 AWD	4	1	5	2021	4
14	K8(21년형)	4	1	5	2021	4
15	더 뉴 그랜저(블랙)	4	2	5	2021	4
16	K8(22년형)	4	2	5	2021~22	4
17	쏘렌토 MQ4 AWD	6	3	5	2021	5
18	더 뉴 싼타페 AWD	6	3	5	2021	5
19	더 올 뉴 투싼	6	3	5	2021	4
20	더 올 뉴 스포티지	6	3	5	2022	4
21	셀토스 1.6T	6	1	5	2020~22	4
22	베뉴	6	1	5	2021~22	2
23	XM3 1.6 GTe	6	1	5	2020	3
24	올 뉴 니로	5	4	5	2022	2
25	카니발 KA4 9인승	7	3	9	2021	6
26	카니발 KA4 7인승	7	3	7	2021	6
27	스타리아 11인승	8	3	11	2022	6
28	폴스타 2	5	4	6	2022	5
29	BMW i4 그란쿠페	5	4	5	2022	4
30	테슬라 모델Y	5	4	5	2022	4
31	아우디 e-트론 스포트백	5	4	5	2022	4
32	메르세데스-벤츠 EQS	5	4	7	2022	6
