m_no	c_no	m_join	m_normal	m_super
1	1	78750	93750	96600
2	2	73500	87500	91560
3	3	90000	108000	111400
4	4	105000	127000	131800
5	5	101250	122250	127200
6	6	105000	127000	131800
7	7	105000	126000	130800
8	8	122500	150500	157250
9	9	122500	150500	157250
10	10	115500	140500	146500
11	11	115500	141500	147550
12	12	144000	178000	185800
13	13	192000	248000	262400
14	14	150000	187000	194500
15	15	144000	176000	182800
16	16	150000	182000	188500
17	17	151200	189200	198900
18	18	151200	188200	197900
19	19	136800	167800	175100
20	20	136800	169800	178100
21	21	107280	130280	135810
22	22	107280	126280	129810
23	23	107280	130280	135810
24	24	126000	157000	165700
25	25	154000	189000	197400
26	26	175000	217000	227500
27	27	154000	186000	193400
28	28	169000	200000	235000
29	29	170000	210000	241500
30	30	201000	239000	269010
31	31	230000	258000	281400
32	32	290000	325000	340000
