n_no	c_no	n_join	n_normal	n_super
1	1	86100	101000	103950
2	2	80360	94360	98420
3	3	98400	116400	119800
4	4	114800	136800	141600
5	5	110700	131700	136650
6	6	114800	136800	141600
7	7	114800	135800	140600
8	8	134750	162750	169500
9	9	134750	162750	169500
10	10	127050	152050	158100
11	11	127050	153050	159100
12	12	160800	194800	202600
13	13	214400	270400	284800
14	14	167500	204500	212000
15	15	160800	192800	199600
16	16	167500	199500	206000
17	17	165900	203900	213600
18	18	165900	202900	212600
19	19	150100	181100	188400
20	20	150100	183100	191400
21	21	117710	140710	146240
22	22	117710	136710	140240
23	23	117710	140710	146240
24	24	138250	169250	188000
25	25	169400	204400	222800
26	26	192500	234500	245000
27	27	169400	241400	258800
28	28	170000	254500	265000
29	29	198000	274000	281500
30	30	211000	295000	309010
31	31	239000	325000	321400
32	32	300000	359000	360500
