R_No	B_No(Boardingpass)	U_No	S_No	Div	Seat
1	1	1	1	1	E37
2	1	1	1	2	E38
3	2	41	1	1	E43
4	3	44	1	1	B10
5	4	47	1	1	E25
6	5	59	1	1	E19
7	6	77	1	1	F01
8	7	81	1	1	E33
9	8	36	2	1	F08
10	9	67	2	1	F04
11	9	67	2	2	F05
12	10	69	2	1	E38
13	11	77	2	1	B21
14	12	30	3	1	B21
15	13	36	3	1	B30
16	14	58	3	1	F07
17	15	72	3	1	F04
18	16	82	3	1	F04
19	17	83	3	1	E31
20	18	24	4	1	E40
21	19	31	4	1	B21
22	19	31	4	2	B22
23	20	44	4	1	E51
24	21	46	4	1	F01
25	22	65	4	1	B06
26	22	65	4	3	B07
27	23	68	4	1	F10
28	24	86	4	1	B15
29	25	95	4	1	E49
30	26	8	5	1	F01
31	27	35	5	1	E16
32	28	40	5	1	F12
33	29	59	5	1	B11
34	30	79	5	1	B05
35	30	79	5	1	B06
36	31	87	5	1	B22
37	32	3	6	1	F09
38	33	11	6	1	B05
39	34	49	6	1	F03
40	35	56	6	1	F09
41	36	60	6	1	F07
42	37	65	7	1	B17
43	38	16	8	1	B16
44	39	25	8	1	E39
45	40	37	8	1	B21
46	41	47	8	1	E32
47	42	49	8	1	B03
48	43	62	8	1	B12
49	44	63	8	1	E14
50	45	84	8	1	F11
51	46	86	8	1	E05
52	47	5	9	1	F01
53	48	17	9	1	F06
54	49	32	9	1	F03
55	50	50	9	1	E04
56	51	3	10	1	E02
57	52	12	10	1	E20
58	53	36	10	1	F02
59	54	75	10	1	B09
60	55	82	10	1	E02
61	55	82	10	3	E03
62	56	83	10	1	B09
63	57	7	11	1	E40
64	58	12	11	1	B03
65	59	40	11	1	B03
66	60	57	11	1	E37
67	61	58	11	1	B23
68	62	78	11	1	E47
69	63	79	11	1	F07
70	64	42	12	1	F08
71	65	52	12	1	B21
72	66	92	12	1	E54
73	67	5	13	1	E30
74	68	11	13	1	B13
75	69	17	13	1	F06
76	70	38	13	1	F08
77	71	56	13	1	B29
78	72	1	14	1	E02
79	73	16	14	1	B11
80	74	34	14	1	B12
81	75	49	14	1	E15
82	76	52	14	1	F02
83	77	53	14	1	E44
84	77	53	14	3	E45
85	78	86	14	1	E39
86	79	7	15	1	E50
87	80	28	15	1	F05
88	81	93	15	1	E46
89	82	3	16	1	B18
90	83	5	16	1	E03
91	84	9	16	1	E15
92	85	22	16	1	F10
93	86	23	16	1	F10
94	87	34	16	1	B03
95	88	39	16	1	B06
96	89	41	16	1	F06
97	90	7	17	1	B27
98	91	14	17	1	E18
99	92	16	17	1	F12
100	93	19	17	1	F12
101	94	33	17	1	E47
102	95	37	17	1	B19
103	96	48	17	1	B21
