S_No	DepartureDate	T_No	DepartureTime	Gate	airNo
1	2024-09-01	1	6:00	100	7355
2	2024-09-01	2	8:00	122	8589
3	2024-09-01	5	15:00	120	3098
4	2024-09-01	6	2:00	123	9344
5	2024-09-01	6	6:00	105	2959
6	2024-09-01	6	8:00	128	8462
7	2024-09-01	6	14:00	116	1835
8	2024-09-01	6	17:00	128	4100
9	2024-09-01	9	1:00	121	9500
10	2024-09-01	10	8:00	116	3653
11	2024-09-01	10	10:00	124	6493
12	2024-09-01	10	22:00	104	4545
13	2024-09-01	10	22:00	102	7795
14	2024-09-01	11	4:00	130	3624
15	2024-09-01	11	16:00	101	6502
16	2024-09-01	11	22:00	103	6743
17	2024-09-01	12	1:00	119	7851
18	2024-09-01	12	15:00	110	6912
19	2024-09-01	12	20:00	113	2957
20	2024-09-01	14	16:00	122	6898
21	2024-09-01	15	1:00	107	6086
22	2024-09-01	16	20:00	109	2993
23	2024-09-01	22	7:00	128	1488
24	2024-09-01	22	14:00	130	1140
25	2024-09-01	23	8:00	124	8951
26	2024-09-01	23	11:00	122	8041
27	2024-09-01	23	14:00	127	4509
28	2024-09-01	24	8:00	114	2724
29	2024-09-01	25	16:00	116	3169
30	2024-09-01	25	18:00	129	3127
31	2024-09-01	26	12:00	107	3106
32	2024-09-01	27	20:00	102	5223
33	2024-09-01	27	23:00	115	7445
34	2024-09-01	28	8:00	127	1251
35	2024-09-01	31	19:00	130	1462
36	2024-09-01	33	4:00	110	6088
37	2024-09-02	2	3:00	103	1917
38	2024-09-02	2	22:00	115	8954
39	2024-09-02	4	13:00	111	6259
40	2024-09-02	4	17:00	126	2890
41	2024-09-02	5	11:00	111	9387
42	2024-09-02	6	21:00	113	6777
43	2024-09-02	9	12:00	125	1232
44	2024-09-02	9	15:00	125	5509
45	2024-09-02	10	3:00	130	5249
46	2024-09-02	11	7:00	118	8856
47	2024-09-02	13	9:00	126	5794
48	2024-09-02	14	2:00	109	7128
49	2024-09-02	16	2:00	104	1117
50	2024-09-02	17	14:00	123	2227
51	2024-09-02	18	6:00	122	8888
52	2024-09-02	18	10:00	109	2568
53	2024-09-02	18	21:00	127	5155
54	2024-09-02	19	8:00	109	5014
55	2024-09-02	19	8:00	124	7883
56	2024-09-02	19	14:00	105	6739
57	2024-09-02	21	6:00	105	7898
58	2024-09-02	23	3:00	118	2247
59	2024-09-02	23	17:00	113	7604
60	2024-09-02	24	16:00	127	4194
61	2024-09-02	25	15:00	120	7456
62	2024-09-02	29	16:00	106	5394
63	2024-09-02	30	8:00	110	6707
64	2024-09-02	30	12:00	114	6553
65	2024-09-02	31	20:00	128	4623
66	2024-09-02	32	23:00	123	6485
67	2024-09-02	34	9:00	116	2875
68	2024-09-03	1	2:00	107	8946
69	2024-09-03	1	10:00	110	4678
70	2024-09-03	2	17:00	110	5178
71	2024-09-03	3	5:00	127	8483
72	2024-09-03	4	21:00	105	2722
73	2024-09-03	6	2:00	120	8451
74	2024-09-03	6	3:00	107	2134
75	2024-09-03	6	8:00	118	5172
76	2024-09-03	10	10:00	107	4835
77	2024-09-03	12	14:00	105	2929
78	2024-09-03	13	16:00	111	2842
79	2024-09-03	17	3:00	103	6893
80	2024-09-03	17	13:00	103	9341
81	2024-09-03	17	18:00	108	6980
82	2024-09-03	17	20:00	105	8703
83	2024-09-03	18	12:00	112	7793
