p_no	u_no	c_no	option1	option2	option3	option4	p_price	p_date
1	38	41	1	1	1	1	70000000	2022-06-10
2	5	23	2	2	2	1	64500000	2022-06-11
3	48	29	4	1	2	1	63150000	2022-06-12
4	28	28	2	2	2	1	64500000	2022-06-13
5	20	40	4	3	2	2	72650000	2022-06-14
6	36	17	2	1	1	2	43800000	2022-06-15
7	6	44	3	1	2	1	113200000	2022-06-16
8	22	16	3	1	2	1	33200000	2022-06-17
9	19	62	2	2	1	1	49000000	2022-06-18
10	47	20	2	3	2	2	37800000	2022-06-19
11	9	36	2	1	1	2	28800000	2022-06-20
12	42	12	3	2	1	1	26900000	2022-06-21
13	23	36	2	1	2	1	28300000	2022-06-22
14	46	66	2	3	2	1	34800000	2022-06-23
15	17	6	3	1	2	1	53200000	2022-06-24
16	34	4	2	2	1	1	82000000	2022-06-25
17	29	44	2	2	1	1	112000000	2022-06-26
18	27	6	3	3	1	1	52200000	2022-06-27
19	49	19	4	1	2	1	38150000	2022-06-28
20	38	41	3	3	1	1	72200000	2022-06-29
21	12	39	4	1	2	1	48150000	2022-06-30
22	24	35	1	2	2	2	36700000	2022-07-01
23	16	26	1	2	1	2	54200000	2022-07-02
24	30	60	4	2	1	2	44850000	2022-07-03
25	42	8	4	3	2	1	79650000	2022-07-04
26	46	20	1	2	1	1	31200000	2022-07-05
27	4	8	1	1	2	2	80500000	2022-07-06
28	18	38	3	1	1	2	48700000	2022-07-07
29	18	66	3	2	2	1	34400000	2022-07-08
30	33	61	2	1	1	1	24800000	2022-07-09
31	4	36	2	3	1	1	27300000	2022-07-10
32	3	49	1	1	2	1	45500000	2022-07-11
33	20	16	2	2	1	1	32000000	2022-07-12
34	9	11	4	1	2	2	26150000	2022-07-13
35	37	23	2	1	1	2	63800000	2022-07-14
36	43	14	2	1	1	1	35800000	2022-07-15
37	2	57	3	3	1	1	76200000	2022-07-16
38	5	6	4	2	2	2	57350000	2022-07-17
39	40	25	3	2	1	1	41900000	2022-07-18
40	45	39	2	2	2	2	52500000	2022-07-19
41	28	37	4	1	2	1	43150000	2022-07-20
42	13	4	2	3	2	2	87800000	2022-07-21
43	15	58	2	3	2	2	27800000	2022-07-22
