a_no	u_no	a_follow	a_followdate	a_heart	a_heartdate	ti_no
1	28	16,1	20240823114635 			
2	20	55,1	20240824044206 			
3	39	52,1	20240823150415 			
4	27	11,1	20240823182451 			
5	16	47,1	20240823124634 			
6	47	12,1	20240823121223 			
7	26	24,0	20240824080033 			
8	19	51,1	20240823154307 			
9	50	12,1	20240824031451 			
10	48	4,0	20240823162356 			
11	49	52,0	20240824092917 			
12	3	47,1	20240824064922 			
13	36	25,1	20240823152957 			
14	41	48,0	20240823154655 			
15	6	33,0	20240823142434 			
16	5	49,1	20240823163211 			
17	9	41,1	20240824075557 			
18	8	19,1	20240823130633 			
19	30	11,0	20240824030534 			
20	18	17,0	20240824014108 			
21	47	32,0	20240823140757 			
22	49	42,1	20240823122625 			
23	54	35,0	20240823181348 			
24	18	53,1	20240823140333 			
25	17	36,1	20240824022636 			
26	5	59,1	20240824003244 			
27	9	6,0	20240824102514 			
28	2	20,0	20240824025942 			
29	43	32,1	20240823152836 			
30	10	23,1	20240824012132 			
31	55	32,0	20240824054851 			
32	31	26,0	20240824061815 			
33	34	52,0	20240823125150 			
34	42	34,1	20240824161803 			
35	16	54,1	20240824025103 			
36	18	43,1	20240824152226 			
37	30	21,0	20240823120346 			
38	37	46,1	20240823134354 			
39	60	12,0	20240823151543 			
40	56	25,1	20240824031911 			
41	7	9,1	20240824074514 			
42	23	43,1	20240823110506 			
43	33	44,0	20240824090052 			
44	4	51,0	20240824013421 			
45	34	26,1	20240823134226 			
46	58	21,1	20240824120756 			
47	16	6,1	20240824060141 			
48	16	23,1	20240823120852 			
49	50	35,0	20240823124832 			
50	41	14,0	20240823175742 			
51	38	44,1	20240823184449 			
52	33	17,0	20240824023844 			
53	18	2,0	20240823124856 			
54	26	54,1	20240824014914 			
55	1	27,1	20240824114808 			
56	42	4,0	20240823191356 			
57	18	33,0	20240823155442 			
58	7	30,1	20240823160141 			
59	57	21,0	20240823184808 			
60	44	42,1	20240824032056 			
61	13	36,1	20240824015904 			
62	20	10,0	20240823180623 			
63	2	57,1	20240824064335 			
64	8	53,0	20240822183346 			
65	14	20,1	20240823142623 			
66	13	53,1	20240823151432 			
67	10	33,1	20240824170942 			
68	13	43,0	20240823163403 			
69	13	57,0	20240823150853 			
70	35	50,1	20240824115240 			
71	60	25,0	20240824152337 			
72	17	29,0	20240823130511 			
73	40	50,1	20240824085943 			
74	35	31,1	20240824085036 			
75	28	39,0	20240824090537 			
76	59	19,0	20240823111705 			
77	24	41,0	20240824010822 			
78	51	32,0	20240824062455 			
79	7	16,0	20240823084515 			
80	57	12,0	20240823140914 			
81	4	38,1	20240824025026 			
82	23	57,1	20240824004822 			
83	3	9,0	20240823162421 			
84	49	37,1	20240823173716 			
85	15	55,1	20240823190318 			
86	8	1,0	20240824022343 			
87	19	20,0	20240823180115 			
88	8	38,1	20240823115550 			
89	5	20,0	20240823105906 			
90	14	51,0	20240823150441 			
91	40	39,0	20240824064421 			
92	4	55,0	20240823121905 			
93	56	60,0	20240823135921 			
94	42	15,1	20240823193912 			
95	3	30,0	20240823134332 			 
97	29	36,0	20240824044143 			
98	54	52,1	20240823124226 			
99	20	38,1	20240824061515 			
100	29	41,1	20240823124609 			
101	20	23,0	20240824100752 			
102	11	16,0	20240824010501 			
103	32	39,1	20240824135736 			
104	9	51,1	20240823193615 			
105	37	11,1	20240823122133 			
106	23	7,0	20240823154855 			
107	38	58,1	20240824030143 			
108	23	31,1	20240824035501 			
109	45	37,0	20240824043234 			
110	2	5,0	20240824091215 			
111	6	47,1	20240824032418 			
112	27	18,0	20240823180051 			
113	50	20,1	20240823185839 			
114	22	17,0	20240824181852 			
115	53	44,0	20240823124102 			
116	20	59,0	20240824020223 			
117	11	30,0	20240824013207 			
118	46	27,1	20240823135646 			
119	17	45,0	20240823160544 			
120	25	49,0	20240823131315 			
121	8	43,0	20240823133726 			
122	47	46,1	20240823125152 			
123	53	12,1	20240823145641 			
124	39	22,1	20240823152254 			
125	15	49,1	20240823190915 			
126	34	34,1	20240823195539 			
127	14	10,1	20240824142247 			
128	51	4,0	20240824012312 			
129	40	11,1	20240824030235 			
130	32	18,1	20240823134218 			
131	38	34,1	20240823190307 			
132	45	50,0	20240823122644 			
133	43	58,0	20240823155427 			
134	10	59,0	20240824083754 			
135	4	43,0	20240824130752 			
136	24	51,0	20240824161435 			
137	47	25,1	20240824032117 			
138	16	38,1	20240823145432 			
139	52	9,1	20240824064823 			
140	15	59,0	20240823141450 			
141	30	34,1	20240823170915 			
142	4	13,1	20240823180322 			
143	29	7,0	20240823181004 			
144	12	45,1	20240823193931 			
145	38	22,0	20240824020241 			
146	19	41,1	20240824095706 			
147	12	55,0	20240823183238 			
148	18	57,0	20240823173331 			
149	31	48,1	20240823124017 			
150	20	49,0	20240824120059 			
151	52	21,0	20240823182431 			
152	15	17,0	20240824160243 			
