c_no	c_give	c_take	c_talk	c_date											
1	20	1	안녕하세요	2024-08-01 20:30											
2	1	20	네 안녕하세요.	2024-08-04 3:47											
3	20	1	혹시 맛집 추천 가능하세요?	2024-08-06 0:06											
4	1	20	그럼요	2024-08-06 10:51											
5	20	1	헐 감사합니다! 양식 음식점 추천해주세요!	2024-08-09 21:09											
6	1	20	"팩피라는 음식점이랑,"	2024-08-10 20:00											
7	1	20	"파스타마루,"	2024-08-11 3:05											
8	1	20	피자바이더슬라이스 추천드려요!	2024-08-12 1:33											
9	20	1	ㅜㅜ좋은 정보 감사합니다!	2024-08-23 15:24											
10	5	1	하이	2024-08-01 17:32											
11	1	5	? 누구세요	2024-08-02 10:45											
12	5	1	아 친구인줄 알았어요..	2024-08-04 8:59											
13	1	8	안녕하세요. 중식점 추천해주실 수 있나요.	2024-08-05 2:07											
14	8	1	지금은 바빠서 죄송합니다.	2024-08-06 19:30											
15	1	8	네.	2024-08-07 13:55											
16	5	2	사진을 잘찍으시네요	2024-08-09 20:20											
17	2	5	감사합니다^^	2024-08-09 21:14											
18	2	5	님도 잘찍으세요	2024-08-10 4:02											
19	5	2	아니에요 감사합니다^^	2024-08-11 2:02											
20	2	20	오민준님 좋은 하루 보내세요~	2024-08-11 3:48											
21	2	20	응원합니다	2024-08-13 14:46											
22	20	2	이민지님도 좋은 하루 보내세요^^	2024-08-15 15:07											
23	20	2	감사합니다^^	2024-08-15 17:22											
24	2	12	오늘도 활기찬 하루 보내시기 바랍니다!	2024-08-16 18:53											
25	2	12	파이팅~	2024-08-17 7:40											
26	12	2	네~	2024-08-17 8:16											
27	15	2	민지님도 좋은 하루 보내세요.	2024-08-19 11:27											
28	2	15	안녕하세요	2024-08-20 5:11											
29	9	3	예진님 안녕하세요~	2024-08-21 22:01											
30	3	9	네 안녕하세요~.	2024-08-21 23:11											
