r_no	r_name	r_type	x	y	r_rest	r_open	r_close
1	미각마라탕	3	78	292	7	8:30	19:30
2	한울밥상	1	492	607	3	9:30	20:30
3	홍콩반점	3	605	422	2	10:00	19:30
4	파스타마루	4	238	193	5	8:30	21:30
5	브런치앤크로와상점	4	385	781	4	7:30	19:00
6	고요한한우	1	310	209	7	9:00	18:30
7	양념치킨앤비어	4	531	672	0	9:00	20:00
8	토속한식	1	657	558	1	7:00	22:00
9	메리칸다이너	4	396	513	3	9:00	18:30
10	스테이크하우스	4	597	395	7	9:30	20:30
11	홍성방	3	281	245	6	7:30	20:30
12	산도류레스토랑	2	559	610	5	9:00	22:00
13	하라식당	2	507	129	4	8:00	18:30
14	중화요리점	3	50	391	3	8:30	22:00
15	일본식면류	2	442	517	5	10:00	18:00
16	따뜻한커피숍	5	215	436	7	9:00	21:00
17	중국식뷔페	3	181	428	3	9:30	19:00
18	맛있는찌개	1	18	686	0	8:30	21:00
19	피자바이더슬라이스	4	583	750	2	9:30	20:30
20	일본식요리점	2	242	398	2	8:00	21:30
21	북경요리	3	360	566	1	8:30	22:00
22	제스티 살룬	4	649	346	3	9:00	18:00
23	유산슬	3	213	492	4	7:30	21:30
24	짬뽕나라	3	519	650	6	9:30	19:30
25	레이힐	5	624	564	4	8:30	18:30
26	카페오아시스	5	145	641	6	8:30	19:00
27	미가한정식	1	81	102	5	9:30	20:30
28	정희옥스시	2	435	290	2	7:00	18:30
29	스타웍스	5	85	594	2	8:00	20:00
30	한가네불고기	1	13	486	6	9:00	18:30
31	로프트카페	5	167	22	7	8:30	18:30
32	몬스터로스터스	5	537	95	4	7:30	18:30
33	브라운핸드	5	140	252	5	9:00	22:00
34	푸짐한한상	1	416	366	6	9:00	21:30
35	맛있는정식	1	254	359	6	7:30	19:30
36	향미정	1	208	544	4	9:30	20:30
37	주남가마솥	1	198	372	1	7:00	22:00
38	스시혼	2	230	432	3	9:30	19:30
39	파스타바니타	4	451	187	7	9:00	19:00
40	금향	3	334	564	6	8:30	20:30
41	팩피	4	490	164	4	8:00	20:00
42	코라이	2	543	202	6	8:00	19:30
43	오마카세	2	440	768	5	8:00	19:30
44	탕화쿵푸	3	590	322	4	9:30	21:30
45	롸이즈	5	214	179	3	8:00	20:30
46	스시롤퓨전	2	604	785	2	7:30	20:00
47	88스시	2	224	666	7	9:30	21:30
48	롤린파스타	4	325	618	2	9:00	20:00
49	디저트38	5	372	761	3	9:00	22:00
50	쿠스	5	117 	127	0	10:00	20:00
