mno	name	cno	price	opno	div
1	더블에스프레소	1	1500	1,2,5,6	0
2	아메리카노	1	1500	1,2,7,8	0
3	원조커피	1	2500	1,6,8	0
4	카푸치노	1	3000	1,2,3,9	0
5	달달연유라떼	1	3500	1,3,5,9	0
6	블랙펄카페라떼	1	3700	1,2,8	0
7	바닐라라떼	1	4000	1,2,9	0
8	카페모카	1	4500	1,3,9	0
9	카라멜마키아또	1	3500	1,2	0
10	바나나카페라떼	1	3800	1,3,7,9	0
11	바나나커피쉐이크	1	4000	1,3,6	0
12	아이스크림카페라떼	1	4300	1,6,7,8	0
13	아이스크림바닐라라떼	1	4300	1,6,7,8	0
14	아이스크림카페모카	1	4500	1,6,7,8	0
15	콜드브루	1	3500	1,2,6,7	0
16	헤이즐넛라떼	1	3000	2,3,5,9	0
17	콜드브루라떼	1	3200	2,3,6,9	0
18	돌체라떼	1	3000	2,3,6,9	0
19	달고나라떼	1	3700	1,3,6,9	0
20	아인슈페너라떼	1	3700	1,3,6,9	0
21	더치커피	1	3400	3,5,6,9	0
22	곡물라떼	1	3400	1,6,7	0
23	콜드브루오리지널커피원액	1	3600	10	0
24	고구마라떼	1	3600	3,9	0
25	그린티라떼	1	3500	1,2,3,9	0
26	달달커피	1	3000	1,2,7,8	0
27	아포가토오리지널	1	3100	1,7,8	0
28	콜드브루화이트	1	4000	1,2,4,9	0
29	연유카페라떼	1	4200	1,3,5,9	0
30	에스프레소마끼아또	1	3800	1,2,6	0
31	페퍼민트티	2	4900	6,10	0
32	유자민트티	2	3900	6,10	0
33	잉글리쉬브랙퍼스트티	2	4900	6,10	0
34	제주팔삭허니블랙티	2	5500	6,10	0
35	제주유기농녹차티	2	5500	6,10	0
36	캐모마일블렌드티	2	3900	6,10	0
37	히비스커스블렌드티	2	3900	6,10	0
38	얼그레이티	2	3900	6,10	0
39	유스베리티	2	4500	6,10	0
40	자몽허니블랙티	2	4500	6,10	0
41	레드파워패션티	2	4900	6,10	0
42	레몬캐모마일블렌드티	2	4900	6,10	0
43	밀크티	2	3900	6,9,10	0
44	레몬티	2	3900	6,10	0
45	레몬얼그레이티	2	4900	6,10	0
46	허쉬 스트로베리 초콜릿	3	5900	6,7,10	0
47	자바칩프라푸치노	3	5500	2,4,6,10	0
48	카라멜프라푸치노	3	5900	2,4,7,10	0
49	화이트초콜릿프라푸치노	3	5900	2,4,7,10	0
50	까만제주크림프라푸치노	3	6900	4,6,7,10	0
51	제주말차크림프라푸치노	3	6900	4,6,7,10	0
52	제주쑥떡크림프라푸치노	3	6900	4,6,7,10	0
53	초콜릿크림칩프라푸치노	3	5900	2,4,7,10	0
54	화이트타이거프라푸치노	3	6900	2,4,8,10	0
55	체리쏙쏙쏙	3	5900	6,10	0
56	청포도에이드	3	5600	6,10	0
57	자몽에이드	3	4900	6,10	0
58	복숭아에이드	3	6900	6,10	0
59	석류에이드	3	6500	6,10	0
60	딸기에이드	3	5500	6,10	0
61	유자에이드	3	5500	6,10	0
62	허쉬 크리미 초콜릿	3	6900	6,10	0
63	자두 플랫치노	3	4900	6,10	0
64	배 플랫치노	3	5500	6,10	0
65	망고 드링킹 요거트	3	7500	6,10	0
66	딸기 드링킹 요거트	3	7500	6,10	0
67	블루베리 드링킹 요거트	3	7500	6,10	0
68	딸기주스	3	7500	6,10	0
69	망고주스	3	6900	6,10	0
70	블루베리 주스	3	6900	6,10	0
71	쫀득감자빵	4	3200	10	3
72	쫀득고구마빵	4	3200	10	3
73	버터소금빵	4	3500	10	3
74	명란소금빵	4	3700	10	3
75	황치즈크럼블머핀	4	2700	10	3
76	생그림카스테라	4	3300	10	3
77	연유크림카르테라	4	6500	10	3
78	그루아상&딸기잼	4	3000	10	3
79	크룽지	4	2800	10	3
80	바닐라슈크림빵	4	3000	10	3
81	크리미단팥빵	4	3000	10	3
82	순우유마카롱	4	2300	10	3
83	초코크런치마카롱	4	2300	10	3
84	딸기크런치마카롱	4	2300	10	3
85	버터소보로스콘	4	3500	10	3
86	플래인크로플	4	2500	10	3
87	초코젤라또크로플	4	3500	10	3
88	아이스허니슈	4	2700	10	3
89	아이스딸기라떼슈	4	2700	10	3
