no	ono	date	uno	mno	quantity	togo	options	optionqty	price	complete
1	00018001	2024-08-01	1	141	3	1	6	2	13400	1
2	00011002	2024-08-01	1	22	2	1	1,6,7	2,1,2	9600	1
3	00027003	2024-08-01	23	132	1	0	6	1	5100	1
4	00037004	2024-08-01	25	127	2	0	6	1	9200	1
5	00042005	2024-08-01	51	32	2	0	6,10	1,2	8800	1
6	00052006	2024-08-01	60	34	1	0	6	1	6500	1
7	00052007	2024-08-01	60	35	1	0	6	1	6500	1
8	00068008	2024-08-01	93	136	2	0			7800	1
9	00072009	2024-08-01	99	38	1	0	6	1	4900	1
10	00084010	2024-08-01	106	78	1	0			3000	1
11	00093011	2024-08-01	119	52	1	1	6,7	1,1	8300	1
12	00108012	2024-08-01	137	137	3	1	6	1	12400	1
13	00115013	2024-08-01	5	99	1	0	8	1	8800	1
14	00125014	2024-08-01	7	108	2	0	1,6,7	1,2,2	13100	1
15	00133015	2024-08-01	27	61	1	0			5500	1
16	00146016	2024-08-01	42	116	2	0	6,7	2,2	13400	1
17	00156017	2024-08-01	43	125	3	0	6,7	1,2	23000	1
18	00161018	2024-08-01	65	2	2	0	1,2,7	1,1,1	4500	1
19	00173019	2024-08-01	92	47	2	0	2	2	12000	1
20	00188020	2024-08-01	101	137	1	0	6	1	4900	1
21	00195021	2024-08-01	115	110	2	0			13000	1
22	00205022	2024-08-01	121	109	1	0	1,8	1,1	6600	1
23	00201023	2024-08-01	121	11	1	0	3,6	1,1	5500	1
24	00212024	2024-08-01	149	32	2	0	6	1	8800	1
25	00223025	2024-08-01	150	65	1	0			7500	1
26	00234026	2024-08-01	19	86	3	0			7500	1
27	00247027	2024-08-01	22	134	2	0	6	1	9200	1
28	00251028	2024-08-01	23	24	1	0	3	1	4100	1
29	00267029	2024-08-01	38	126	3	0			12300	1
30	00271030	2024-08-01	49	10	3	0	7	1	11900	1
31	00281031	2024-08-01	54	2	3	0	1,2,7	1,1,2	6500	1
32	00298032	2024-08-01	64	142	3	0			11700	1
33	00305033	2024-08-01	85	100	1	0	1	1	7100	1
34	00316034	2024-08-01	91	118	2	0	6	1	15600	1
35	00326035	2024-08-01	100	121	2	0	6,7	2,2	18200	1
36	00335036	2024-08-01	105	113	1	0			6500	1
37	00344037	2024-08-01	131	89	2	0			5400	1
38	00355038	2024-08-01	134	105	3	0	1,6,8	2,1,1	18900	1
39	00362039	2024-08-01	142	39	2	0	6,10	2,2	11000	1
40	00371040	2024-08-01	144	21	3	0	3,6	1,2	12700	1
41	00382041	2024-08-01	150	38	3	0	6	1	12700	1
42	00397042	2024-08-01	19	126	2	0			8200	1
43	00403043	2024-08-01	22	64	2	0	6	2	13000	1
44	00408044	2024-08-01	22	137	3	0	6	1	12700	1
45	00417045	2024-08-01	28	131	1	0			4100	1
46	00428046	2024-08-01	66	137	3	0	6	1	12700	1
47	00425047	2024-08-01	66	115	3	0			21600	1
48	00433048	2024-08-01	123	49	2	0	7	2	12800	1
49	00446049	2024-08-01	129	117	3	0			20100	1
50	00454050	2024-08-01	133	74	1	0			3700	1
51	00464051	2024-08-01	135	87	1	0			3500	1
52	00475052	2024-08-01	136	114	1	0	1	1	7400	1
53	00481053	2024-08-01	19	11	3	0	6	2	14000	1
54	00496054	2024-08-01	27	122	1	0	7	1	7800	1
