No	User_no	Goal_no	Totalamount	Directamount	Indirectamount	Date	Time
1	18	7	257	200	57	2023-01-10	8:40:17
2	11	9	30209	13000	17209	2024-08-07	22:33:47
3	3	2	52456	52000	456	2024-08-25	23:30:32
4	19	13	167439	96000	71439	2023-07-09	22:47:09
5	5	1	79645	79000	645	2023-09-29	16:27:41
6	5	4	60456	60000	456	2023-12-21	22:26:22
7	17	14	83564	79000	4564	2020-11-30	1:30:09
8	17	13	73970	40000	33970	2021-07-02	5:48:18
9	19	5	72387	40000	32387	2019-07-16	14:32:06
10	27	9	57788	53000	4788	2023-03-14	23:09:10
11	33	10	80783	80000	783	2021-06-23	0:58:08
12	2	12	24878	24000	878	2019-10-27	1:54:48
13	19	14	177736	88000	89736	2023-11-28	7:34:07
14	4	14	86453	86000	453	2019-10-19	12:56:19
15	25	12	90068	90000	68	2020-07-23	9:28:30
16	36	8	90738	28000	62738	2024-03-17	21:39:59
17	26	3	86237	200	86037	2024-05-16	21:11:58
18	16	3	83453	83000	453	2022-09-26	13:46:15
19	17	2	67045	67000	45	2024-02-13	3:47:01
20	18	15	91848	64000	27848	2021-03-05	23:56:32
21	11	7	161185	95000	66185	2024-08-02	19:45:27
22	13	11	1026	1000	26	2022-12-01	14:44:08
23	6	1	62622	200	62422	2020-09-10	1:09:00
24	20	9	57078	57000	78	2019-05-18	8:27:12
25	8	1	116408	63000	53408	2019-03-26	0:41:45
26	31	4	55045	55000	45	2021-10-09	6:17:19
27	9	9	154001	79000	75001	2023-09-12	14:43:28
28	35	16	18045	18000	45	2023-10-28	17:16:25
29	31	1	68514	49000	19514	2020-02-24	12:08:48
30	17	9	94036	94000	36	2021-02-18	5:09:10
31	17	14	109920	88000	21920	2023-10-17	0:02:46
32	35	5	171599	97000	74599	2021-10-15	6:51:35
33	32	10	101783	42000	59783	2024-08-22	22:37:10
34	19	2	95045	95000	45	2019-10-25	14:11:48
35	36	9	109854	29000	80854	2019-06-29	21:38:35
36	19	6	15310	10000	5310	2019-06-12	1:44:05
37	4	2	136628	95000	41628	2021-01-25	5:53:07
38	17	3	71892	2000	69892	2020-11-12	16:37:59
39	28	1	81234	81000	234	2024-05-30	19:29:50
40	3	2	17456	17000	456	2024-08-25	11:26:26
41	33	5	127555	78000	49555	2022-11-13	9:08:01
42	20	13	113264	64000	49264	2021-11-25	15:20:02
43	25	3	37078	37000	78	2021-10-04	15:05:36
44	7	5	118098	48000	70098	2019-04-26	23:24:46
45	39	4	37023	37000	23	2020-09-13	5:03:29
46	26	11	130650	77000	53650	2022-10-05	5:50:07
47	2	5	175199	85000	90199	2019-05-26	9:58:20
48	2	3	108523	38000	70523	2019-03-14	23:41:16
49	3	14	22068	22000	68	2024-08-13	7:18:19
50	27	16	172670	90000	82670	2019-07-08	15:40:23
51	8	17	80775	43000	37775	2021-04-15	13:35:13
52	5	10	51301	15000	36301	2021-06-30	17:23:03
53	28	9	98078	98000	78	2019-02-12	6:04:57
54	21	11	163150	82000	81150	2019-09-30	10:26:51
55	6	16	27762	24000	3762	2019-09-01	11:00:05
56	25	8	118606	80000	38606	2023-04-23	11:40:37
57	26	4	4624	2000	2624	2021-07-27	4:00:34
58	40	9	102145	14000	88145	2022-04-08	7:32:50
59	25	5	49162	23000	26162	2022-06-13	9:57:55
60	29	11	67035	67000	35	2019-12-04	15:11:10
61	27	14	117893	62000	55893	2024-01-14	23:56:13
62	15	17	122684	74000	48684	2019-02-15	10:35:00
