c_no	u_no	c_no	d_date
1	27	35	2024-07-01
2	15	50	2024-12-06
3	31	34	2024-10-18
4	2	42	2024-05-31
5	47	16	2024-09-20
6	22	34	2024-11-12
7	12	43	2024-07-21
8	37	19	2024-07-27
9	48	49	2024-06-17
10	34	47	2024-08-20
11	30	23	2024-10-12
12	46	29	2024-09-07
13	17	60	2024-12-20
14	45	53	2024-06-14
15	18	59	2024-06-01
16	38	60	2024-07-08
17	19	8	2024-09-13
18	33	48	2024-08-06
19	14	18	2024-07-08
20	20	55	2024-06-21
21	50	54	2024-10-22
22	8	34	2024-10-17
23	9	35	2024-10-14
24	21	2	2024-12-20
25	4	49	2024-05-23
26	39	33	2024-06-09
27	32	43	2024-05-06
28	49	54	2024-11-21
29	6	16	2024-06-16
30	7	35	2024-10-28
31	13	51	2024-12-11
32	29	16	2024-11-04
33	26	17	2024-12-23
34	16	17	2024-06-04
35	3	63	2024-11-25
36	28	33	2024-10-10
37	25	37	2024-10-26
38	10	18	2024-07-28
39	24	16	2024-08-09
40	40	17	2024-07-28
41	36	29	2024-12-23
42	5	63	2024-10-13
43	23	48	2024-09-17
44	44	53	2024-11-09
45	35	30	2024-05-12
46	11	1	2024-12-30
47	1	21	2024-05-17
48	41	17	2024-10-27
49	42	60	2024-11-18
50	38	61	2024-09-22
51	48	41	2024-12-22
52	20	58	2024-07-05
53	19	13	2024-11-27
54	27	47	2024-10-23
55	14	25	2024-11-05
56	33	65	2024-11-15
57	9	53	2024-10-06
58	34	27	2024-10-12
59	13	60	2024-08-02
60	31	16	2024-08-06
61	16	8	2024-08-13
62	28	32	2024-05-30
63	43	34	2024-12-02
64	39	20	2024-11-05
65	24	9	2024-06-09
66	8	6	2024-11-01
67	30	12	2024-11-30
68	47	65	2024-12-01
69	10	47	2024-10-13
70	22	1	2024-12-21
71	25	50	2024-10-24
72	40	19	2024-12-21
73	37	29	2024-11-30
74	6	16	2024-05-06
75	26	44	2024-09-24
76	3	50	2024-11-21
77	15	44	2024-10-31
78	5	37	2024-12-02
79	45	50	2024-08-29
80	11	36	2024-09-25
81	21	36	2024-11-18
82	17	26	2024-09-26
83	29	24	2024-07-29
84	44	20	2024-12-06
85	18	49	2024-10-01
86	36	6	2024-12-05
87	31	52	2024-07-10
88	2	20	2024-08-29
89	4	31	2024-08-16
90	34	63	2024-05-09
91	7	18	2024-06-17
92	46	4	2024-05-19
93	20	13	2024-10-17
94	12	2	2024-09-26
95	50	15	2024-08-13
96	38	45	2024-09-04
97	32	36	2024-07-24
98	13	27	2024-12-16
99	19	5	2024-06-20
100	10	32	2024-11-28
101	9	62	2024-10-03
102	14	65	2024-09-29
103	33	63	2024-09-07
104	45	55	2024-12-20
105	1	51	2024-08-25
106	41	48	2024-09-24
107	26	66	2024-05-11
108	16	11	2024-08-11
109	39	11	2024-08-14
110	35	29	2024-07-04
111	11	59	2024-10-06
112	10	1	2024-11-30
113	19	34	2024-08-25
114	20	44	2024-11-17
115	22	61	2024-07-15
116	27	5	2024-10-10
117	37	33	2024-07-08
118	48	59	2024-11-11
119	47	44	2024-12-12
120	8	41	2024-11-05
121	43	52	2024-05-29
122	29	49	2024-10-10
123	5	58	2024-12-11
124	30	34	2024-12-26
125	13	25	2024-08-22
126	18	66	2024-07-16
127	15	35	2024-08-26
128	6	56	2024-10-11
129	28	47	2024-05-24
130	24	28	2024-09-03
131	32	53	2024-07-25
132	4	21	2024-07-17
133	7	41	2024-06-04
134	34	19	2024-08-15
135	23	65	2024-12-06
136	9	41	2024-07-09
137	50	11	2024-09-24
138	46	29	2024-12-25
139	36	4	2024-12-07
140	33	23	2024-11-29
141	11	54	2024-05-01
142	38	16	2024-11-11
143	21	48	2024-11-18
144	3	60	2024-09-08
145	12	14	2024-08-30
146	16	28	2024-10-31
147	44	64	2024-05-04
148	17	21	2024-12-13
149	14	36	2024-05-10
150	31	38	2024-07-20
151	47	26	2024-07-13
152	26	2	2024-06-02
153	37	17	2024-10-25
154	25	18	2024-09-15
155	41	21	2024-05-13
156	15	31	2024-07-08
157	10	11	2024-11-16
158	20	26	2024-11-28
159	49	62	2024-05-28
160	28	61	2024-07-23
161	19	16	2024-06-14
162	2	29	2024-10-17
163	45	27	2024-07-30
164	7	41	2024-07-04
165	39	2	2024-07-04
166	27	19	2024-09-14
167	1	47	2024-09-25
168	35	31	2024-06-18
169	23	54	2024-06-22
170	5	27	2024-07-21
171	33	57	2024-10-03
172	36	36	2024-08-10
173	16	32	2024-08-12
174	28	10	2024-11-13
175	42	38	2024-06-16
176	25	13	2024-07-16
177	4	64	2024-09-12
178	15	56	2024-11-25
179	29	2	2024-12-09
180	11	1	2024-12-08
181	46	17	2024-12-16
182	12	57	2024-10-30
183	40	62	2024-07-08
184	8	22	2024-08-19
185	21	2	2024-06-01
186	22	4	2024-11-19
187	17	52	2024-11-27
188	37	30	2024-10-31
189	10	6	2024-11-28
190	19	34	2024-05-13
191	50	32	2024-09-29
192	34	23	2024-10-28
193	14	4	2024-10-05
194	3	1	2024-10-06
195	33	62	2024-07-01
196	6	5	2024-06-05
197	20	25	2024-07-20
198	9	15	2024-07-03
199	24	51	2024-11-11
200	38	29	2024-06-19
